Provided by yucezhe.com. Please contact QQ:2023046319 or contact@yucezhe.com if you have any question.
candle_begin_time,open,high,low,close,volume
2017-07-12 00:00:00,2285.5,2285.9,2284.8,2284.9,2.2185346000000004
2017-07-12 00:01:00,2284.9,2288.6,2284.9,2288.5,9.60541616
2017-07-12 00:02:00,2288.6,2289.3,2288.6,2289.0,7.353521740000001
2017-07-12 00:03:00,2288.9,2289.7,2288.9,2288.9,1.07153157
2017-07-12 00:04:00,2289.4,2289.5,2289.4,2289.5,1.23346219
2017-07-12 00:05:00,2289.7,2289.8,2289.5,2289.5,7.05611153
2017-07-12 00:06:00,2289.5,2289.7,2288.9,2289.3,4.2149142600000005
2017-07-12 00:07:00,2289.8,2290.0,2285.8,2285.8,26.33552698
2017-07-12 00:08:00,2290.0,2290.0,2288.6,2288.7,5.6426221
2017-07-12 00:09:00,2288.6,2288.6,2285.0,2285.0,3.7276674599999997
2017-07-12 00:10:00,2285.0,2285.0,2282.4,2283.7,1.82172678
2017-07-12 00:11:00,2283.7,2283.7,2282.1,2282.1,2.2650200000000003
2017-07-12 00:12:00,2281.7,2284.2,2281.7,2281.8,4.189457089999999
2017-07-12 00:13:00,2286.4,2286.4,2281.3,2281.4,1.04016525
2017-07-12 00:14:00,2281.8,2281.8,2281.7,2281.7,1.9665479399999999
2017-07-12 00:15:00,2281.7,2282.4,2281.7,2282.4,5.045442310000001
2017-07-12 00:16:00,2282.3,2284.4,2282.3,2284.4,7.73029534
2017-07-12 00:17:00,2285.1,2285.1,2283.3,2283.3,5.379342720000001
2017-07-12 00:18:00,2283.9,2283.9,2282.4,2283.4,2.2613923700000003
2017-07-12 00:19:00,2282.4,2282.5,2280.4,2281.5,11.084587960000002
2017-07-12 00:20:00,2282.0,2282.0,2281.1,2281.1,0.81205371
2017-07-12 00:21:00,2275.0,2281.5,2274.0,2275.0,142.89521584
2017-07-12 00:22:00,2274.0,2274.7,2249.2,2256.0,302.87581556
2017-07-12 00:23:00,2256.0,2256.0,2250.2,2254.6,66.39642225
2017-07-12 00:24:00,2255.2,2263.5,2255.2,2262.1,29.417773630000006
2017-07-12 00:25:00,2261.7,2263.3,2257.6,2261.0,16.26239916
2017-07-12 00:26:00,2263.2,2265.1,2259.7,2259.8,12.231456190000001
2017-07-12 00:27:00,2260.5,2263.2,2260.5,2260.6,5.459092139999999
2017-07-12 00:28:00,2264.8,2264.8,2261.2,2263.3,15.58369202
2017-07-12 00:29:00,2261.3,2264.0,2258.6,2260.0,15.26134306
2017-07-12 00:30:00,2260.0,2260.1,2252.0,2252.0,35.79153574999999
2017-07-12 00:31:00,2252.0,2253.1,2248.4,2250.4,37.85005626000002
2017-07-12 00:32:00,2250.3,2250.3,2224.5,2225.0,345.8114821100001
2017-07-12 00:33:00,2225.0,2225.0,2224.9,2224.9,85.25441737000004
2017-07-12 00:34:00,2225.0,2225.0,2223.3,2225.0,42.832648389999996
2017-07-12 00:35:00,2225.0,2225.3,2220.0,2224.8,62.06804469
2017-07-12 00:36:00,2222.2,2230.0,2220.6,2230.0,45.251430770000006
2017-07-12 00:37:00,2230.0,2242.9,2230.0,2242.9,62.78427189
2017-07-12 00:38:00,2242.8,2245.2,2239.8,2245.2,18.797909859999997
2017-07-12 00:39:00,2245.2,2247.4,2242.0,2242.1,48.003019859999995
2017-07-12 00:40:00,2242.0,2244.9,2241.2,2243.1,26.515371220000002
2017-07-12 00:41:00,2242.9,2243.1,2233.8,2236.3,31.955675920000004
2017-07-12 00:42:00,2231.5,2235.4,2230.7,2232.6,10.200604749999998
2017-07-12 00:43:00,2232.5,2234.2,2230.5,2231.1,2.956452210000001
2017-07-12 00:44:00,2230.5,2231.2,2228.2,2229.9,13.978100080000003
2017-07-12 00:45:00,2231.2,2232.9,2229.2,2231.9,12.007724439999999
2017-07-12 00:46:00,2232.1,2243.3,2232.0,2242.2,21.308832530000004
2017-07-12 00:47:00,2241.2,2244.0,2241.2,2244.0,13.14470735
2017-07-12 00:48:00,2243.9,2249.7,2243.9,2249.7,16.52825361
2017-07-12 00:49:00,2248.1,2250.0,2248.1,2250.0,12.655504570000002
2017-07-12 00:50:00,2249.8,2250.0,2245.1,2245.1,33.68610272000001
2017-07-12 00:51:00,2246.3,2247.5,2243.9,2246.3,8.327535739999998
2017-07-12 00:52:00,2249.0,2251.4,2247.0,2251.3,10.94320057
2017-07-12 00:53:00,2250.0,2252.5,2246.5,2248.6,2.49623334
2017-07-12 00:54:00,2250.0,2250.0,2248.9,2249.8,4.01019507
2017-07-12 00:55:00,2249.7,2250.1,2249.3,2249.3,15.924739230000002
2017-07-12 00:56:00,2250.7,2250.7,2250.6,2250.7,3.3062497900000003
2017-07-12 00:57:00,2250.7,2255.2,2250.6,2251.0,6.64078178
2017-07-12 00:58:00,2252.6,2252.6,2250.9,2250.9,6.214950689999999
2017-07-12 00:59:00,2250.8,2250.9,2249.3,2249.3,7.366560739999999
2017-07-12 01:00:00,2249.3,2249.3,2243.9,2245.0,15.493790699999998
2017-07-12 01:01:00,2246.4,2246.4,2243.7,2244.4,13.748820290000001
2017-07-12 01:02:00,2243.7,2243.9,2240.1,2243.7,2.92997251
2017-07-12 01:03:00,2240.9,2241.0,2238.0,2239.6,9.209654639999995
2017-07-12 01:04:00,2239.5,2239.6,2235.3,2238.0,11.06117948
2017-07-12 01:05:00,2238.1,2240.1,2236.7,2236.7,24.476834269999998
2017-07-12 01:06:00,2237.2,2240.8,2237.1,2240.0,16.376563919999995
2017-07-12 01:07:00,2240.0,2242.3,2239.9,2242.1,18.368957979999998
2017-07-12 01:08:00,2242.3,2242.3,2242.2,2242.2,4.132234990000001
2017-07-12 01:09:00,2244.1,2247.4,2242.3,2247.4,0.38795314999999997
2017-07-12 01:10:00,2247.3,2254.3,2247.3,2253.2,27.922341749999998
2017-07-12 01:11:00,2253.2,2254.0,2253.2,2253.8,5.445357639999999
2017-07-12 01:12:00,2253.9,2255.0,2253.9,2254.9,8.374742
2017-07-12 01:13:00,2254.8,2258.5,2254.8,2255.5,7.908237990000001
2017-07-12 01:14:00,2255.4,2255.5,2255.4,2255.4,2.5819638100000004
2017-07-12 01:15:00,2255.4,2255.6,2255.4,2255.6,4.775189719999999
2017-07-12 01:16:00,2255.5,2257.5,2253.9,2254.4,17.392844059999998
2017-07-12 01:17:00,2254.2,2257.7,2254.2,2256.8,10.414369800000003
2017-07-12 01:18:00,2256.8,2265.3,2256.8,2257.6,46.446871879999996
2017-07-12 01:19:00,2257.7,2262.4,2257.7,2260.8,16.9850354
2017-07-12 01:20:00,2260.8,2263.0,2260.7,2262.4,8.160798879999998
2017-07-12 01:21:00,2262.7,2262.8,2262.6,2262.7,3.5063185300000006
2017-07-12 01:22:00,2262.8,2262.8,2257.2,2257.2,2.4700519400000003
2017-07-12 01:23:00,2256.9,2258.4,2254.3,2254.9,10.044404850000001
2017-07-12 01:24:00,2255.0,2258.3,2254.3,2255.3,12.085546059999999
2017-07-12 01:25:00,2255.3,2258.0,2252.5,2252.5,8.027008069999999
2017-07-12 01:26:00,2252.2,2254.2,2249.4,2249.4,23.74250055
2017-07-12 01:27:00,2248.4,2252.5,2248.4,2250.8,1.4599526299999999
2017-07-12 01:28:00,2247.9,2247.9,2244.0,2244.0,2.6832016700000003
2017-07-12 01:29:00,2244.0,2245.1,2244.0,2244.0,2.7995692299999986
2017-07-12 01:30:00,2243.2,2244.8,2243.2,2243.7,3.0017608799999937
2017-07-12 01:31:00,2243.7,2246.7,2242.1,2242.1,10.507861480000003
